VisCent ,VisPeri ,SomMotA ,SomMotB ,DorsAttnA ,DorsAttnB ,SalVentAttnA ,SalVentAttnB ,Limbic_Pole ,Limbic_OFC ,ContC ,ContA ,ContB ,TempPar ,DefaultC ,DefaultA ,DefaultB
-0.0053288,-0.083881,-0.096276,-0.091714,-0.12147,-0.13121,-0.10779,-0.14668,-0.099854,-0.048907,-0.064916,-0.096773,-0.18615,-0.035533,-0.066696,-0.19704,-0.17466
-0.0075026,-0.086347,-0.090375,-0.092507,-0.12486,-0.14377,-0.11107,-0.15421,-0.096787,-0.048562,-0.068479,-0.12008,-0.20246,-0.035784,-0.069507,-0.19754,-0.19866
0.0013962,-0.085552,-0.1229,-0.10976,-0.13388,-0.080001,-0.089626,-0.070985,-0.094491,-0.043527,-0.027936,-0.085049,-0.19916,-0.054754,-0.044435,-0.20694,-0.22815
0.00037719,-0.090171,-0.12501,-0.11364,-0.14162,-0.096834,-0.096963,-0.070435,-0.097061,-0.043462,-0.029994,-0.10118,-0.20282,-0.055001,-0.046343,-0.20726,-0.24517
0.0085873,-0.062939,-0.089037,-0.058029,-0.12412,-0.036109,-0.025207,-0.043787,-0.067682,-0.017163,-0.010134,0.0081142,-0.16867,-0.048586,-0.034789,-0.20819,-0.25103
-0.00053321,-0.073469,-0.048568,-0.033662,-0.12085,-0.10673,-0.024315,-0.091197,-0.058559,-0.0123,-0.046212,-0.063146,-0.18504,-0.035461,-0.054543,-0.1786,-0.21627
0.0040518,-0.07015,-0.038122,-0.026723,-0.11478,-0.054669,0.010702,-0.046592,-0.038869,-0.0038641,-0.017519,0.0059201,-0.16826,-0.034944,-0.03786,-0.18217,-0.21251
-0.0025688,-0.092974,-0.024374,-0.033044,-0.15744,-0.094228,-0.0073997,-0.11647,-0.051976,-0.017443,-0.047712,-0.058366,-0.26625,-0.040459,-0.065882,-0.26905,-0.3516
-0.001378,-0.087438,-0.0091231,-0.022671,-0.14544,-0.070591,0.00012688,-0.10231,-0.035182,-0.012918,-0.038507,-0.044521,-0.2489,-0.030651,-0.056913,-0.2498,-0.32591
0.003925,-0.072573,-0.040915,-0.034403,-0.13398,-0.079002,-0.0065335,-0.057733,-0.047681,-0.014783,-0.027746,-0.04731,-0.21337,-0.044041,-0.045306,-0.21435,-0.29741
0.0058472,-0.062824,-0.043439,-0.026028,-0.13463,-0.060079,-0.0085509,-0.043542,-0.041144,-0.0061641,-0.021947,-0.022503,-0.20137,-0.045118,-0.03839,-0.20571,-0.2733
0.00096487,-0.064866,-0.051132,-0.021161,-0.10473,-0.079287,-0.015083,-0.071099,-0.062113,-0.016639,-0.036474,-0.0023885,-0.16419,-0.034146,-0.05138,-0.18902,-0.23194
0.0002332,-0.059887,-0.051192,-0.015517,-0.10491,-0.067979,-0.023724,-0.076881,-0.059845,-0.015014,-0.040264,0.01011,-0.16869,-0.034633,-0.050275,-0.19684,-0.22313
0.012879,-0.079185,-0.023493,0.012214,-0.14756,-0.069311,0.074836,-0.0073258,-0.023853,0.016988,-0.0032284,0.026656,-0.21697,-0.050193,-0.035504,-0.21605,-0.33399
0.0082792,-0.068853,-0.093278,-0.062961,-0.12751,-0.048947,-0.025505,-0.047138,-0.073587,-0.018586,-0.013959,-0.0030037,-0.17245,-0.050057,-0.040265,-0.21438,-0.27285
0.013611,0.0031003,-0.019071,0.031617,-0.039548,0.046136,0.074376,0.085831,0.016386,0.055649,0.041,0.17025,-0.00097508,-0.029275,0.018169,-0.047274,-0.041405
0.0071194,0.036821,-0.029969,0.0052773,0.070652,0.099179,0.036339,0.13335,0.030777,0.050361,0.048768,0.17701,0.14938,0.0042778,0.033736,0.060076,0.038647
0.0067021,0.0094647,-0.0064038,0.02746,-0.046445,-0.0010426,0.031343,0.039435,0.01276,0.038761,0.007568,0.050068,-0.029103,-0.02311,-0.00035345,-0.025874,-0.06518
0.023595,0.031257,0.013786,0.076611,-0.012856,0.090628,0.15527,0.17894,0.068442,0.080647,0.066794,0.17641,0.03015,-0.02254,0.030436,-0.0045155,-0.17245
0.023529,0.026872,0.02062,0.091044,-0.065262,0.055958,0.15214,0.14167,0.065411,0.086746,0.054041,0.1506,-0.030298,-0.036405,0.020635,-0.027776,-0.1629
0.0028837,-0.011946,-0.066571,-0.02492,-0.037337,-0.013215,-0.03199,0.01336,-0.033334,0.01942,-0.0090289,0.063096,-0.026282,-0.024101,-0.015992,-0.081035,-0.097829
0.006096,0.0072826,-0.015299,0.028304,-0.041618,-0.023664,0.034425,0.053099,0.010616,0.050674,0.0034186,0.043595,-0.00634,-0.016333,-0.0026695,-0.003465,-0.077571
0.0017534,-0.0061768,-0.059393,-0.013837,-0.065754,-0.033259,-0.037803,-0.016104,-0.033742,0.022454,-0.020377,0.03679,-0.070015,-0.035918,-0.022211,-0.083948,-0.074931
0.013108,0.002381,-0.015625,0.034584,-0.053417,0.0033231,0.058436,0.078692,0.013592,0.040272,0.020581,0.061255,-0.042204,-0.028759,0.0028396,-0.047505,-0.15776
0.010445,0.0080087,0.001059,0.027711,0.0029037,0.056608,0.064499,0.06079,0.02439,0.021316,0.035694,0.10068,-0.012649,-0.013415,0.017165,-0.032154,-0.072451
