"","structure_id","slab_num","well_id","slab_type","structure_acronym","structure_name","polygon_id","mri_voxel_x","mri_voxel_y","mri_voxel_z","mni_x","mni_y","mni_z"
"96",4746,61,156434505,"CB","He-X","X, left, lateral hemisphere",146148177,115,148,126,-24,-35,-39
"97",4743,61,156434489,"CB","He-VIIIB","VIIIB, left, lateral hemisphere",146148077,115,174,142,-24,-51,-65
"98",4736,61,156434473,"CB","He-V","V, left, lateral hemisphere",146149504,115,126,136,-24,-45,-17
"99",4735,61,156434457,"CB","He-IV","IV, left, lateral hemisphere",146149594,115,139,125,-24,-34,-30
"100",4741,61,156434523,"CB","He-VIIB","VIIB, left, lateral hemisphere",146146376,115,167,164,-24,-73,-58
"101",4738,61,156434475,"CB","He-VI","VI, left, lateral hemisphere",146146285,115,132,168,-24,-77,-23
"102",4742,61,156434459,"CB","He-VIIIA","VIIIA, left, lateral hemisphere",146146475,115,173,155,-24,-64,-64
"103",4741,61,156434443,"CB","He-VIIB","VIIB, left, lateral hemisphere",146146375,115,168,162,-24,-71,-59
"104",4739,61,156434411,"CB","He-Crus I","Crus I, left, lateral hemisphere",146146016,115,140,179,-24,-88,-31
"105",4738,61,156434585,"CB","He-VI","VI, left, lateral hemisphere",146146284,115,131,166,-24,-75,-22
"106",4728,62,149052712,"CB","PV-IX","IX, left, paravermis",128130461,105,169,134,-14,-43,-60
"107",4727,62,147712556,"CB","PV-VIIIB","VIIIB, left, paravermis",128198489,105,165,153,-14,-62,-56
"108",4725,62,149052744,"CB","PV-VIIB","VIIB, left, paravermis",128198491,105,167,166,-14,-75,-58
"109",4724,62,147712652,"CB","PV-Crus II","Crus II, left, paravermis",146080228,105,154,180,-14,-89,-45
"110",4723,62,147712668,"CB","PV-Crus I","Crus I, left, paravermis",146080286,105,142,176,-14,-85,-33
"111",4722,62,147712700,"CB","PV-VI","VI, left, paravermis",146080299,105,128,168,-14,-77,-19
"112",4710,63,147712592,"CB","Ve-VIIIB","VIIIB",146140622,94,150,157,-3,-66,-41
"113",4708,63,147712718,"CB","Ve-VIIB","VIIB",146140660,94,140,161,-3,-70,-31
"114",4700,63,147712654,"CB","Ve-I-II","I-II",146140536,94,132,134,-3,-43,-23
"115",4713,63,147712608,"CB","Ve-X","X",146140135,94,138,138,-3,-47,-29
"116",4710,63,147712576,"CB","Ve-VIIIB","VIIIB",146140617,94,155,156,-3,-65,-46
"117",4709,63,147712734,"CB","Ve-VIIIA","VIIIA",146806878,94,156,158,-3,-67,-47
"118",4700,63,147712638,"CB","Ve-I-II","I-II",146140535,94,131,133,-3,-42,-22
"119",4706,63,147712688,"CB","Ve-VIIAf","VIIAf",146140966,94,129,173,-3,-82,-20
"120",4705,63,147712656,"CB","Ve-VI","VI",146140945,94,128,161,-3,-70,-19
"121",4706,63,147712672,"CB","Ve-VIIAf","VIIAf",146140965,94,131,173,-3,-82,-22
"122",4702,63,147712590,"CB","Ve-IV","IV",146140784,94,113,141,-3,-50,-4
"123",4703,63,147712606,"CB","Ve-V","V",146140797,94,107,153,-3,-62,2
"124",4702,63,147712574,"CB","Ve-IV","IV",146140783,94,115,140,-3,-49,-6
"125",4701,63,147712732,"CB","Ve-III","III",146140729,94,117,133,-3,-42,-8
"162",4746,61,156434569,"CB","He-X","X, left, lateral hemisphere",146148179,115,150,125,-24,-34,-41
"163",4743,61,156434553,"CB","He-VIIIB","VIIIB, left, lateral hemisphere",146148084,115,173,145,-24,-54,-64
"164",4736,61,156434537,"CB","He-V","V, left, lateral hemisphere",146149505,115,126,138,-24,-47,-17
"165",4735,61,156434521,"CB","He-IV","IV, left, lateral hemisphere",146149595,115,138,125,-24,-34,-29
"166",4742,61,156434539,"CB","He-VIIIA","VIIIA, left, lateral hemisphere",146146478,115,172,157,-24,-66,-63
"167",4740,61,156434507,"CB","He-Crus II","Crus II, left, lateral hemisphere",146145783,115,150,181,-24,-90,-41
"168",4739,61,156434491,"CB","He-Crus I","Crus I, left, lateral hemisphere",146145918,115,142,180,-24,-89,-33
"169",4740,61,156434427,"CB","He-Crus II","Crus II, left, lateral hemisphere",146145782,115,147,182,-24,-91,-38
"170",4728,62,149052696,"CB","PV-IX","IX, left, paravermis",128130460,105,166,134,-14,-43,-57
"171",4726,62,149052776,"CB","PV-VIIIA","VIIIA, left, paravermis",128198349,105,171,159,-14,-68,-62
"172",4726,62,149052760,"CB","PV-VIIIA","VIIIA, left, paravermis",128198347,105,172,158,-14,-67,-63
"173",4725,62,149052728,"CB","PV-VIIB","VIIB, left, paravermis",128198488,105,167,165,-14,-74,-58
"174",4720,62,147712620,"CB","PV-V","V, left, paravermis",146086913,105,119,150,-14,-59,-10
"175",4719,62,147712588,"CB","PV-IV","IV, left, paravermis",146087091,105,118,130,-14,-39,-9
"176",4720,62,147712604,"CB","PV-V","V, left, paravermis",146086821,105,118,149,-14,-58,-9
"177",4719,62,147712572,"CB","PV-IV","IV, left, paravermis",146087134,105,118,129,-14,-38,-9
"178",4723,62,147712684,"CB","PV-Crus I","Crus I, left, paravermis",146080276,105,140,175,-14,-84,-31
"179",4722,62,147712716,"CB","PV-VI","VI, left, paravermis",146080300,105,128,167,-14,-76,-19
"180",4724,62,147712636,"CB","PV-Crus II","Crus II, left, paravermis",146080227,105,155,179,-14,-88,-46
"181",4713,63,147712624,"CB","Ve-X","X",146140136,94,141,139,-3,-48,-32
"182",4711,63,147712686,"CB","Ve-IX","IX",146140605,94,151,147,-3,-56,-42
"183",4709,63,147712560,"CB","Ve-VIIIA","VIIIA",146806879,94,156,159,-3,-68,-47
"184",4711,63,147712670,"CB","Ve-IX","IX",146140604,94,151,146,-3,-55,-42
"185",4708,63,147712702,"CB","Ve-VIIB","VIIB",146140659,94,143,161,-3,-70,-34
"186",4707,63,147712720,"CB","Ve-VIIAt","VIIAt",146141465,94,145,167,-3,-76,-36
"187",4707,63,147712704,"CB","Ve-VIIAt","VIIAt",146141482,94,147,165,-3,-74,-38
"188",4705,63,147712640,"CB","Ve-VI","VI",146140937,94,130,161,-3,-70,-21
"189",4703,63,147712622,"CB","Ve-V","V",146140798,94,106,159,-3,-68,3
"190",4701,63,147712558,"CB","Ve-III","III",146140732,94,119,132,-3,-41,-10
"191",4701,63,149052710,"CB","Ve-III","III",146140732,95,119,132,-4,-41,-10
