0,None
1,I_IV
2,V
3,VI
4,Vermis_VI
5,CrusI
6,Vermis_CrusI
7,CrusII
8,Vermis_CrusII
9,VIIb
10,Vermis_VIIb
11,VIIIa
12,Vermis_VIIIa
13,VIIIb
14,Vermis_VIIIb
15,IX
16,Vermis_IX
17,X
18,Vermis_X
