Inf,0.2365,0.2438,0.22029,0.21731,0.28219,0.10315,0.072746,0.10828,0.15622
0.2365,Inf,0.25139,0.20501,0.16841,0.35901,0.10546,0.13691,0.15941,0.16091
0.2438,0.25139,Inf,0.34605,0.47659,0.41061,0.38152,0.35589,0.30278,0.26986
0.22029,0.20501,0.34605,Inf,0.36641,0.35551,0.23248,0.1804,0.2209,0.30863
0.21731,0.16841,0.47659,0.36641,Inf,0.38247,0.55137,0.33011,0.29792,0.33843
0.28219,0.35901,0.41061,0.35551,0.38247,Inf,0.22743,0.3167,0.38255,0.27575
0.10315,0.10546,0.38152,0.23248,0.55137,0.22743,Inf,0.58913,0.27018,0.31543
0.072746,0.13691,0.35589,0.1804,0.33011,0.3167,0.58913,Inf,0.48083,0.29163
0.10828,0.15941,0.30278,0.2209,0.29792,0.38255,0.27018,0.48083,Inf,0.25678
0.15622,0.16091,0.26986,0.30863,0.33843,0.27575,0.31543,0.29163,0.25678,Inf
