Inf,0.1331,0.28003,0.10621,0.10947,0.070562,0.092785,0.059052,0.017638,0.062982,0.042101,0.026404,0.039183,0.031985,0.019668,0.03267,0.0483,0.02845,0.042043,0.053588,0.021551,0.045168,0.034362,0.031965,0.033419,0.021733,0.020312,0.017077
0.1331,Inf,0.1007,0.26385,0.088988,0.06556,0.11785,0.060139,0.01795,0.070808,0.043753,0.029286,0.043016,0.031935,0.022072,0.03818,0.042804,0.033908,0.05236,0.046274,0.026236,0.058578,0.033831,0.035477,0.042357,0.01824,0.022537,0.02199
0.28003,0.1007,Inf,0.13326,0.25099,0.11555,0.1281,0.074177,0.021805,0.074807,0.047409,0.027346,0.043809,0.044943,0.020813,0.039724,0.069918,0.03149,0.052848,0.076865,0.022047,0.057225,0.047568,0.039555,0.041874,0.023666,0.025306,0.018949
0.10621,0.26385,0.13326,Inf,0.14016,0.12407,0.27745,0.080958,0.025002,0.096658,0.054164,0.03575,0.058341,0.044649,0.028768,0.057991,0.056837,0.043617,0.073874,0.060655,0.031563,0.076708,0.049069,0.05053,0.061632,0.0233,0.032271,0.026606
0.10947,0.088988,0.25099,0.14016,Inf,0.36313,0.27232,0.29718,0.083401,0.1646,0.12773,0.084148,0.049045,0.18429,0.073412,0.11067,0.18064,0.082362,0.104,0.15839,0.051104,0.11149,0.19347,0.12041,0.12805,0.06331,0.085242,0.052393
0.070562,0.06556,0.11555,0.12407,0.36313,Inf,0.33315,0.27646,0.16807,0.24893,0.16086,0.19072,0.15583,0.17669,0.13519,0.16011,0.14746,0.14398,0.1218,0.12276,0.080956,0.11747,0.16031,0.13942,0.16236,0.058006,0.086207,0.057515
0.092785,0.11785,0.1281,0.27745,0.27232,0.33315,Inf,0.1911,0.067803,0.27286,0.097352,0.088494,0.12798,0.11641,0.085463,0.15312,0.11471,0.11131,0.13925,0.10436,0.075053,0.13147,0.1256,0.12702,0.16791,0.049644,0.088337,0.059766
0.059052,0.060139,0.074177,0.080958,0.29718,0.27646,0.1911,Inf,0.18278,0.39665,0.5115,0.25916,0.24668,0.34019,0.1809,0.18596,0.21494,0.26945,0.10412,0.093517,0.20599,0.059058,0.25301,0.16948,0.15869,0.098476,0.071753,0.09216
0.017638,0.01795,0.021805,0.025002,0.083401,0.16807,0.067803,0.18278,Inf,0.1316,0.15241,0.20125,0.11085,0.11056,0.087282,0.077878,0.060036,0.11646,0.034595,0.034807,0.080852,0.025824,0.081823,0.06982,0.067506,0.027699,0.02778,0.027591
0.062982,0.070808,0.074807,0.096658,0.1646,0.24893,0.27286,0.39665,0.1316,Inf,0.32594,0.24743,0.51101,0.15516,0.18615,0.27108,0.095283,0.30213,0.15521,0.035734,0.2254,0.077897,0.10914,0.16668,0.21938,0.075367,0.062582,0.089744
