Vis,SomMot,DorsAttn,VentAttn,Limbic,Cont,Default
0.11,-0.043436,0.18067,-0.057534,-0.0046934,0.1177,0.1795
0.11665,-0.052361,0.22213,-0.045516,0.00088258,0.18261,0.16596
0.1627,-0.019399,0.27062,0.0028767,0.04798,0.24915,0.27996
0.14365,-0.023732,0.24852,-0.0027087,0.045242,0.27393,0.2712
0.10866,-0.028842,0.13022,-0.041067,0.022735,0.12098,0.17018
0.11799,-0.033719,0.13689,-0.054181,0.025121,0.15817,0.28183
0.12756,-0.054267,0.20612,-0.034748,0.029188,0.25146,0.23907
-0.0011598,-0.084698,0.043667,-0.050668,-0.016719,0.016925,0.036393
-0.013113,-0.093308,0.032373,-0.055358,-0.024383,0.019628,-0.0051407
-0.042656,-0.075044,-0.094563,-0.10845,-0.043649,-0.099358,0.0055145
-0.048983,-0.086157,-0.092087,-0.10696,-0.050456,-0.10383,-0.034642
0.15353,-0.025204,0.21056,-0.019809,0.032169,0.1912,0.25628
0.13497,-0.02846,0.23993,0.013343,0.039466,0.25464,0.20482
0.091275,-0.030582,0.12797,-0.0274,0.011399,0.10988,0.11247
0.076173,-0.042147,0.14922,-0.0070295,0.014302,0.16158,0.10667
0.052181,0.0011078,0.11422,0.086769,0.062497,0.1046,0.040754
0.046588,-0.012537,0.12053,0.075188,0.048605,0.1252,0.023737
0.030264,0.019303,0.057817,0.061644,0.035441,0.058892,0.029138
0.029091,0.019769,0.061161,0.068198,0.037545,0.067005,0.02863
0.010827,-0.064675,-0.058991,-0.16174,-0.037163,-0.003842,0.22452
0.073123,-0.051215,0.02989,-0.15182,-0.015418,0.059241,0.37543
0.039327,-0.068971,-0.0025989,-0.15563,-0.018979,0.077711,0.32731
0.051733,-0.055016,0.026511,-0.10103,0.00021569,0.085795,0.22425
0.06449,-0.034915,0.010183,-0.092504,0.013216,0.042616,0.22883
0.031934,-0.038147,-0.043798,-0.12486,-0.0066385,0.0088745,0.29938
0.025463,-0.035894,-0.021772,-0.099592,6.59E-05,0.044424,0.26161
0.014293,-0.025751,-0.087216,-0.096401,0.0032519,-0.034296,0.17281
-0.00025501,-0.045955,-0.078986,-0.10908,-0.0069828,0.0023732,0.18008
0.0034043,-0.093087,-0.1143,-0.23065,-0.067524,-0.055358,0.2898
0.020415,-0.073205,-0.070116,-0.17346,-0.031849,0.016897,0.32479
0.034104,-0.07407,0.0084362,-0.13286,-0.023009,0.087474,0.26782
0.028013,-0.060598,-0.088348,-0.17857,-0.032279,-0.010106,0.30198
-0.032339,-0.085944,-0.13853,-0.19768,-0.061691,-0.069023,0.17069
0.070066,-0.054677,0.010991,-0.13988,-0.019596,0.064912,0.31559
0.014551,-0.062808,-0.052311,-0.14091,-0.018825,0.058611,0.26832
-0.005384,-0.099868,-0.079943,-0.19933,-0.074212,-0.054639,0.18075
-0.018581,-0.10504,-0.065083,-0.17489,-0.06323,-0.0024707,0.16297
